c_id,c_name,c_email_id,c_type,payment_id,amount,payment_mode,payment_status,payment_date,payment_category
230,Mitchell,harriette42@ymail.com,Internal Goods,313cd69e-66f3-11ea-9879-7077813058ce,49302.00,CARD PAYMENT,PAID,2014-12-18,High
3189,Reginald,matthew951@yahoo.co.in,Wholesale,313dc140-66f3-11ea-a952-7077813058ce,78698.00,CARD PAYMENT,PAID,1997-07-10,High
2216,Jaylene,geraldine867@ymail.co.in,Retail,313eab1e-66f3-11ea-81af-7077813058ce,69417.00,CARD PAYMENT,NOT PAID,,High
2182,Paige,ilana40@ymail.co.in,Retail,319fa8a8-66f3-11ea-b17c-7077813058ce,312.00,COD,NOT PAID,,Low
1904,Stacie,brenda905@ymail.com,Internal Goods,313f474a-66f3-11ea-a78b-7077813058ce,39655.00,COD,NOT PAID,,High
7342,Jonathan,malie282@gmail.com,Wholesale,3140589a-66f3-11ea-a057-7077813058ce,87400.00,COD,NOT PAID,,High
7633,Italia,fred847@google.co.in,Internal Goods,31411bc8-66f3-11ea-a4b7-7077813058ce,56881.00,CARD PAYMENT,PAID,1971-11-01,High
2154,Catherine,clay224@gmail.com,Wholesale,3141defa-66f3-11ea-b10e-7077813058ce,99239.00,COD,NOT PAID,,High
5543,Pierre,alaysha578@hotmail.com,Wholesale,3142c940-66f3-11ea-9f69-7077813058ce,23921.00,COD,NOT PAID,,High
2332,Sheryl,kelli519@gmail.com,Retail,31444fa8-66f3-11ea-912a-7077813058ce,67599.00,CARD PAYMENT,NOT PAID,,High
4094,Rory,ryker154@hotmail.com,Internal Goods,314539e6-66f3-11ea-bfa4-7077813058ce,3725.00,COD,NOT PAID,,Medium
3042,Cecile,johnnie593@hotmail.com,Wholesale,3145fd0a-66f3-11ea-958b-7077813058ce,95516.00,COD,PAID,1991-05-15,High
2220,Monte,zykeria36@google.co.in,Wholesale,31469934-66f3-11ea-8572-7077813058ce,62528.00,COD,PAID,1976-06-30,High
4988,Belle,selma775@yahoo.co.in,Wholesale,3147355e-66f3-11ea-aae4-7077813058ce,21021.00,CARD PAYMENT,NOT PAID,,High
175,Rayshawn,kathryn298@gmail.com,Wholesale,3147f89c-66f3-11ea-8dfd-7077813058ce,99492.00,CARD PAYMENT,NOT PAID,,High
4233,Abby,karl167@google.co.in,Internal Goods,3148bbc8-66f3-11ea-8acf-7077813058ce,60282.00,CARD PAYMENT,PAID,1987-08-09,High
4351,Alonzo,freda331@yahoo.co.in,Internal Goods,31497efa-66f3-11ea-9497-7077813058ce,20357.00,CARD PAYMENT,NOT PAID,,High
5578,Ray,david216@ymail.com,Wholesale,314a1b22-66f3-11ea-9e82-7077813058ce,24053.00,CARD PAYMENT,NOT PAID,,High
4523,Tiffany,winnifred436@gmail.com,Wholesale,314ade58-66f3-11ea-8979-7077813058ce,50958.00,CARD PAYMENT,NOT PAID,,High
2972,Rosalind,bryce535@google.co.in,Wholesale,314b7a8a-66f3-11ea-97d4-7077813058ce,68227.00,CARD PAYMENT,PAID,1977-07-06,High
6153,Franklin,maeve922@gmail.com,Retail,314c8bcc-66f3-11ea-b526-7077813058ce,77861.00,CARD PAYMENT,PAID,1997-09-08,High
